#TYPE Selected.System.Management.Automation.PSCustomObject
"COMName","PSVersion","ExecutionPolicy","WinRMStatus","NetFXVersion"
"SHHWSR0281.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"SHHWSR0283.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0285.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0286.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"SHHWSR0290.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0291.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"SHHWSR0292.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0296.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0297.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"SHHWSR0298.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"SHHWSR0299.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0301.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0302.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0303.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0304.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0305.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0306.global.schindler.com","3.0","Unrestricted","Running","4.5.51209"
"SHHWSR0311.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0312.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0313.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0316.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0317.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0318.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0319.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0320.global.schindler.com","4.0","Unrestricted","Running","4.5.51209"
"SHHWSR0321.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0323.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0325.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
