"PSComputerName","Name","IsDomainAccount","AdminByMemberOf"
"SCHWSR0015.global.schindler.com","georguco","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","bersinni","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","kochm5","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","huwilepa","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","balmerch","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","vonallcl","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","feuerhfr","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","ineichs2","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","bergerr4","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admstadelke","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","retired185326_admlauensbe","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admsorrengi","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admschumad1","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admwagnert2","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","retired136969_admeicherva","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admramicad","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admmucciogi","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admbueelema","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","retired9502_admandergja","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admgehrigpa","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admgappmajo","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admfreulema","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admkugelth","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admgoetscbr","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admrastma","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admnegroem","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admeckertma","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admreinerfr","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admrengglad","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admhaubenan","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admeggenbdo","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admglanzmda","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admbuehlere","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admmuellet2","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admruettide","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0016.global.schindler.com","Administrator","False","SCHWSR0016.global.schindler.com\Administrators"
"SCHWSR0016.global.schindler.com","SVCSYSMGT","False","SCHWSR0016.global.schindler.com\Administrators"
"SCHWSR0016.global.schindler.com","admrescue","True","Domain Admins"
"SCHWSR0016.global.schindler.com","svcshhtennesscanaa","True","Domain Admins"
"SCHWSR0016.global.schindler.com","svcshhquestq1imad","True","Domain Admins"
"SCHWSR0016.global.schindler.com","svcshhldmsagtdpl","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","svcshhwhatsup","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","svcshhmmdiscovery","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admwickiwe","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admriemeran","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admwelleshe","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admhuerlifl","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admvogelhe","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admchristma","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admkipferer","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admrittwemi","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admortize1","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admgraciam1","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admdediegbl","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admlabodilu","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admsomaloce","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admvallesju","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admmarquea8","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admgarciaf19","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admcorsipa","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admniffeler","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","retired122950_admwoichaal","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admspyragr","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","retired89414_admriebliha","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admtippmato","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admkoemueta","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","retired13927_admschmidri","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admbarmetmi","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admelmigema","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admgoetscbr","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admwuerscda","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","retired9770_admmangolpa","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admgraciam1","True","SCH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admjennymi","True","SCH_RES_SY_SERVER_ADMIN"
"SCHWSR0016.global.schindler.com","admortize1","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admgashiko","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admheaumola","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admseignova","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admmasidlu","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admgraciam1","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admdediegbl","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admbarceljo","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admlabodilu","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","retired177153_admhaastrwa","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","svcinfwsusmgt","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admvallesju","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admmarquea8","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admgarciaf19","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admniffeler","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admspyragr","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","svcinfsitescope","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admmorenagi","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admtippmato","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admkoemueta","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","retired13927_admschmidri","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admbarmetmi","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admstewarga","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admelmigema","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admgehrigpa","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admgappmajo","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admkugelth","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admhuerlifl","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admchristma","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admgoetscbr","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","tstadmgoetscbr","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","svcinfwhatsup","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","svcinfserverdb","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admnaepflpe","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admkipferer","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0016.global.schindler.com","admwuerscda","True","INF_GR_INF_SERVER_MGT"
